100011331 1 1 1 1 2 1 2 2 2 2 2 4 1 1 1 1 1 1 2 1 2 3 3 3 3 3 2 2 3 3 3 2 3 2 1 2 3 2 2 2 1 1 1 1 2 1 1 2 1 1 1 1 2 5 3 3 3 3 3 3 3 5 1 5 4 4 4 4 4 4 4 4 12000000000000000000000000000000000000000000000000000000000000000000000000017.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.303822938 18.5837245717.927828408 18.5837245718.02058140118.02058140117.92782840818.471095936           0 18.5837245718.471095936 18.5837245718.47109593617.92782840818.36509251618.47109593617.92782840818.47109593618.36509251617.927828408
100022331 2 1 2 2 2 1 2 2 2 2 2 4 1 1 2 1 1 1 2 2 1 4 3 3 2 3 3 4 2 3 4 4 3 2 1 4 1 2 2 2 2 2 1 4 2 2 1 1 3 1 2 1 2 4 4 4 4 4 3 3 2 4 1 4 3 4 3 3 3 2 2 3 1200000000000000000000000000000000000000000000000000000000000000000000000005.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.4137039431 5.318726681 5.3187266815.41370394315.41370394315.41370394315.41370394315.41370394315.41370394315.41370394315.41370394315.41370394315.4137039431 5.318726681 5.3187266815.33290239175.33290239175.4137039431           0 5.318726681 5.3187266815.41370394315.4137039431 5.3187266815.22702449685.41370394315.41370394315.41370394315.41370394315.41370394315.39811066135.39811066135.39811066135.41370394315.41370394315.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.2292535051
100032331 2 1 1 1 2 1 2 2 2 2 2 4 1 1 1 2 2 1 1 1 3 5 4 4 4 3 4 5 5 5 5 4 4 5 4 4 3 5 2 2 5 1 1 4 1 1 1 1 3 1 1 1 2 3 4 4 5 2 2 1 1 3 1 4 3 4 5 2 2 1 1 2 1200000000000000000000000000000000000000000000000000000000000000000000000005.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.4137039431 5.318726681 5.3187266815.41370394315.41370394315.41370394315.41370394315.41370394315.41370394315.41370394315.41370394315.41370394315.4137039431 5.318726681 5.3187266815.33290239175.33290239175.41370394315.4137039431 5.318726681 5.3187266815.41370394315.4137039431 5.3187266815.22702449685.41370394315.4137039431           05.41370394315.41370394315.39811066135.39811066135.39811066135.41370394315.41370394315.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.22925350515.2292535051
100043211 2 1 2 2 2 1 2 2 2 2 2 2 2 1 2 1 1 2 2 2 5 2 4 3 1 3 3 1 1 5 5 5 5 2 1 2 2 5 5 5 3 4 1 4 2 3 1 1 1 1 2 1 2 3 2 3 5 2 2 2 4 2 1 5 2 3 4 2 2 2 2 3 1200000000000000000000000000000000000000000000000000000000000000000000000006.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.3256071659 6.3908196116.3256071659 6.3908196116.32560716596.32560716596.32560716596.19909502266.32560716596.26171214416.2617121441           06.22731956456.28959276026.35312400026.35312400026.35312400026.28959276026.28959276026.28959276026.22731956456.30741807216.30741807216.24434389146.24434389146.30741807216.1825187044 6.371779481 6.3717794816.30741807216.30741807216.24434389146.2443438914 6.371779481 6.3717794816.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.1193708253
100052211 2 1 2 2 2 1 2 2 2 2 2 5 2 1 1 2 1 1 2 2 2 2 3 3 3 1 2 1 3 4 4 3 1 1 1 4 5 4 1 3 1 3 1 3 2 4 1 3 1 3 1 1 2 5 5 4 3 5 3 2 1 3 1 5 5 5 2 4 2 1 1 4 1100000000000000000000000000000000000000000000000000000000000000000000000006.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.3256071659 6.3908196116.3256071659           06.32560716596.32560716596.32560716596.19909502266.32560716596.26171214416.26171214416.18251870446.22731956456.28959276026.35312400026.35312400026.35312400026.28959276026.28959276026.28959276026.22731956456.30741807216.30741807216.24434389146.24434389146.30741807216.1825187044 6.371779481 6.3717794816.30741807216.30741807216.24434389146.2443438914 6.371779481 6.3717794816.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.1193708253
100062211 1 2 2 2 2 2 2 1 1 2 2 5 1 1 2 1 1 1 1 2 3 4 4 4 3 3 4 3 3 3 3 3 3 3 1 1 2 2 1 1 1 1 1 1 2 1 1 3 2 2 1 1 1-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8200000000000000000000000000000000000000000000000000000000000000000000000006.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.3256071659 6.3908196116.3256071659 6.3908196116.32560716596.32560716596.32560716596.19909502266.32560716596.26171214416.26171214416.18251870446.2273195645           06.35312400026.35312400026.35312400026.28959276026.28959276026.28959276026.22731956456.30741807216.30741807216.24434389146.24434389146.30741807216.1825187044 6.371779481 6.3717794816.30741807216.30741807216.24434389146.2443438914 6.371779481 6.3717794816.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.11937082536.1193708253
100071421 2 1 2 2 2 1 2 2 2 2 2 4 1 1 1 2 1 1 1 2 1 4 4 4 3 4 4 3 2 3 3 3 3 2 3 2 2 3 1 1 1 1 3 2 2 1 1 2 1 2 1 1 2 3 2 2 4 3 3 3 4 3 1 4 2 2 5 4 3 3 4 4 1200000000000000000000000000000000000000000000000000000000000000000000000007.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786678.34404226468.34404226468.34404226468.34404226468.34404226468.34404226468.34404226468.34404226468.34404226468.34404226468.3440422646 8.091192499 8.329168749 8.329168749 8.329168749 8.329168749 8.329168749 8.329168749 8.329168749 8.329168749 8.091192499           07.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.93720786677.9372078667
100081441 2 1 1 2 2 1 2 2 2 1 2 4 1 1 1 2 2 1 2 2 2 1 1 1 1 1 1 1 2 2 1 2 2 1 1 1 1 1 1 1 1 3 1 1 1 1 3 1 1 1 1 1 2 5 3 3 4 1 1 1 1 1 1 4 1 2 3 3 3 3 3 3 12000000000000000000000000000000000000000000000000000000000000000000000000017.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.85360047617.853600476 19.2127121718.80235662319.14686773818.86109359318.86109359319.082988812 18.5837245718.86109359318.86109359318.80235662318.31439522818.86109359318.86109359319.14686773818.52985870119.146867738           018.74532217518.861093593
100092341 2 1 2 2 2 1 2 2 2 2 2 2 1 1 2 2 2 1 2 1 2 2 5 5 3 1 5 5 5 5 5 3 1 2 1 5 5 5 5 5 3 3 1 2 1 1 5 5 5 5 1 1 2 4 5 5 5 5 5 4 5 5 1 5 5 5 5 5 3 4 5 5 1200000000000000000000000000000000000000000000000000000000000000000000000004.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.99763625314.99763625314.99763625314.99763625314.99763625314.92414160234.99763625314.99763625314.99763625314.99763625314.9976362531           04.99763625314.99763625314.99763625314.92414160234.99763625314.85759914835.00479912244.99763625314.92414160234.99763625314.92414160234.99763625314.99763625314.99763625314.99763625314.99763625314.99763625314.99763625315.00479912245.00479912244.93010062815.00479912244.99763625314.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.84153527634.8415352763
100103221 2 1 1 2 2 1 2 2 1 1 2 4 2 1 2 1 1 1 2 1 4 5 5 5 4 4 4 4 2 3 3 3 2 2 1 3 3 5 3 3 2 2 1 3 2 2 1 4 2 3 2 1 2 5 4 4 5 3 2 2 2 4 1 5 2 3 5 2 4 3 3 2 1200000000000000000000000000000000000000000000000000000000000000000000000001.4688601645 1.615746181 1.615746181 1.615746181 1.615746181 1.615746181 1.615746181 1.615746181 1.615746181 1.615746181 1.615746181           01.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.46886016451.4688601645
